,Date,Time,Temp,Rain,Day of the Week,School Holiday,Public Holiday
185,2023-11-13,11:00:00,32,0,Monday,0,1
186,2023-11-13,12:00:00,32,0,Monday,0,1
187,2023-11-13,13:03:00,33,0,Monday,0,1
188,2023-11-13,14:00:00,30,0,Monday,0,1
189,2023-11-13,14:30:00,30,0,Monday,0,1
190,2023-11-13,15:00:00,31,0,Monday,0,1
191,2023-11-13,16:00:00,31,0,Monday,0,1
192,2023-11-13,17:00:00,31,0,Monday,0,1
193,2023-11-13,17:40:00,30,0,Monday,0,1
194,2023-11-13,18:00:00,30,0,Monday,0,1
195,2023-11-13,19:00:00,29,0,Monday,0,1
196,2023-11-13,20:00:00,28,0,Monday,0,1
197,2023-11-13,20:10:00,29,0,Monday,0,1
198,2023-11-13,21:00:00,28,0,Monday,0,1
199,2023-11-13,22:00:00,28,0,Monday,0,1
200,2023-11-14,09:00:00,28,0,Tuesday,0,0
201,2023-11-14,10:00:00,29,0,Tuesday,0,0
202,2023-11-14,11:00:00,30,0,Tuesday,0,0
203,2023-11-14,12:00:00,31,0,Tuesday,0,0
204,2023-11-14,13:00:00,31,0,Tuesday,0,0
205,2023-11-14,14:00:00,30,0,Tuesday,0,0
206,2023-11-14,14:16:00,27,0,Tuesday,0,0
207,2023-11-14,14:46:00,26,0,Tuesday,0,0
208,2023-11-14,15:00:00,26,0,Tuesday,0,0
209,2023-11-14,15:26:00,26,0,Tuesday,0,0
210,2023-11-14,16:00:00,26,1,Tuesday,0,0
211,2023-11-14,17:00:00,27,0,Tuesday,0,0
212,2023-11-14,18:00:00,27,0,Tuesday,0,0
213,2023-11-14,19:00:00,27,0,Tuesday,0,0
214,2023-11-14,20:00:00,27,0,Tuesday,0,0
215,2023-11-14,21:00:00,27,0,Tuesday,0,0
216,2023-11-14,22:00:00,27,0,Tuesday,0,0
217,2023-11-15,09:00:00,30,0,Wednesday,0,0
218,2023-11-15,10:00:00,31,0,Wednesday,0,0
219,2023-11-15,11:00:00,31,0,Wednesday,0,0
220,2023-11-15,12:00:00,32,0,Wednesday,0,0
221,2023-11-15,13:00:00,33,0,Wednesday,0,0
222,2023-11-15,14:00:00,32,0,Wednesday,0,0
223,2023-11-15,15:00:00,34,0,Wednesday,0,0
224,2023-11-15,16:00:00,32,0,Wednesday,0,0
