Date/Time,Wait Time,Month,Day,Time,Day of Week,Number of Visitors,Number of New Visitors Arriving,Time Interval,Number of New Visitors Arriving_sum
2024-02-10 16:55:00,33,2,10,16:55,Saturday,165,0.0,2024-02-10 16:00:00,800.0
2024-02-10 17:00:00,30,2,10,17:00,Saturday,150,0.0,2024-02-10 17:00:00,1600.0
2024-02-10 17:05:00,30,2,10,17:05,Saturday,150,0.0,2024-02-10 17:00:00,1600.0
2024-02-10 17:10:00,33,2,10,17:10,Saturday,165,600.0,2024-02-10 17:00:00,1600.0
2024-02-10 17:15:00,33,2,10,17:15,Saturday,165,0.0,2024-02-10 17:00:00,1600.0
2024-02-10 17:20:00,36,2,10,17:20,Saturday,180,600.0,2024-02-10 17:00:00,1600.0
2024-02-10 17:25:00,36,2,10,17:25,Saturday,180,0.0,2024-02-10 17:00:00,1600.0
2024-02-10 17:30:00,36,2,10,17:30,Saturday,180,0.0,2024-02-10 17:00:00,1600.0
2024-02-10 17:35:00,35,2,10,17:35,Saturday,175,0.0,2024-02-10 17:00:00,1600.0
2024-02-10 17:40:00,35,2,10,17:40,Saturday,175,0.0,2024-02-10 17:00:00,1600.0
2024-02-10 17:45:00,35,2,10,17:45,Saturday,175,0.0,2024-02-10 17:00:00,1600.0
2024-02-10 17:50:00,37,2,10,17:50,Saturday,185,400.0,2024-02-10 17:00:00,1600.0
2024-02-10 17:55:00,36,2,10,17:55,Saturday,180,0.0,2024-02-10 17:00:00,1600.0
2024-02-10 18:00:00,37,2,10,18:00,Saturday,185,200.0,2024-02-10 18:00:00,600.0
2024-02-10 18:05:00,37,2,10,18:05,Saturday,185,0.0,2024-02-10 18:00:00,600.0
2024-02-10 18:10:00,36,2,10,18:10,Saturday,180,0.0,2024-02-10 18:00:00,600.0
2024-02-10 18:15:00,35,2,10,18:15,Saturday,175,0.0,2024-02-10 18:00:00,600.0
2024-02-10 18:20:00,35,2,10,18:20,Saturday,175,0.0,2024-02-10 18:00:00,600.0
2024-02-10 18:25:00,33,2,10,18:25,Saturday,165,0.0,2024-02-10 18:00:00,600.0
2024-02-10 18:30:00,35,2,10,18:30,Saturday,175,400.0,2024-02-10 18:00:00,600.0
2024-02-10 18:35:00,30,2,10,18:35,Saturday,150,0.0,2024-02-10 18:00:00,600.0
2024-02-10 18:40:00,25,2,10,18:40,Saturday,125,0.0,2024-02-10 18:00:00,600.0
2024-02-10 18:45:00,25,2,10,18:45,Saturday,125,0.0,2024-02-10 18:00:00,600.0
2024-02-10 18:50:00,23,2,10,18:50,Saturday,115,0.0,2024-02-10 18:00:00,600.0
2024-02-10 18:55:00,21,2,10,18:55,Saturday,105,0.0,2024-02-10 18:00:00,600.0
2024-02-10 19:00:00,22,2,10,19:00,Saturday,110,200.0,2024-02-10 19:00:00,200.0
2024-02-10 19:05:00,19,2,10,19:05,Saturday,95,0.0,2024-02-10 19:00:00,200.0
2024-02-10 19:10:00,18,2,10,19:10,Saturday,90,0.0,2024-02-10 19:00:00,200.0
2024-02-10 19:15:00,18,2,10,19:15,Saturday,90,0.0,2024-02-10 19:00:00,200.0
2024-02-10 19:20:00,17,2,10,19:20,Saturday,85,0.0,2024-02-10 19:00:00,200.0
2024-02-10 19:25:00,17,2,10,19:25,Saturday,85,0.0,2024-02-10 19:00:00,200.0
2024-02-10 19:30:00,16,2,10,19:30,Saturday,80,0.0,2024-02-10 19:00:00,200.0
2024-02-10 19:35:00,15,2,10,19:35,Saturday,75,0.0,2024-02-10 19:00:00,200.0
2024-02-10 19:40:00,13,2,10,19:40,Saturday,65,0.0,2024-02-10 19:00:00,200.0
2024-02-10 19:45:00,11,2,10,19:45,Saturday,55,0.0,2024-02-10 19:00:00,200.0
2024-02-10 19:50:00,10,2,10,19:50,Saturday,50,0.0,2024-02-10 19:00:00,200.0
2024-02-10 19:55:00,9,2,10,19:55,Saturday,45,0.0,2024-02-10 19:00:00,200.0
2024-02-11 10:00:00,10,2,11,10:00,Sunday,50,200.0,2024-02-11 10:00:00,4000.0
2024-02-11 10:05:00,10,2,11,10:05,Sunday,50,0.0,2024-02-11 10:00:00,4000.0
2024-02-11 10:10:00,12,2,11,10:10,Sunday,60,400.0,2024-02-11 10:00:00,4000.0
