,datetime,Date,Time,Temp,rain,Day of the Week,School Holiday,Public Holiday,Weekend,type_of_day
140,2024-08-09 12:20:00,2024-08-09,12:20:00,29,1,Friday,0,1,0,3
141,2024-08-09 12:21:00,2024-08-09,12:21:00,29,1,Friday,0,1,0,3
142,2024-08-09 12:22:00,2024-08-09,12:22:00,29,1,Friday,0,1,0,3
143,2024-08-09 12:23:00,2024-08-09,12:23:00,29,1,Friday,0,1,0,3
144,2024-08-09 12:24:00,2024-08-09,12:24:00,29,1,Friday,0,1,0,3
145,2024-08-09 12:25:00,2024-08-09,12:25:00,29,1,Friday,0,1,0,3
146,2024-08-09 12:26:00,2024-08-09,12:26:00,29,1,Friday,0,1,0,3
147,2024-08-09 12:27:00,2024-08-09,12:27:00,29,1,Friday,0,1,0,3
148,2024-08-09 12:28:00,2024-08-09,12:28:00,29,1,Friday,0,1,0,3
149,2024-08-09 12:29:00,2024-08-09,12:29:00,29,1,Friday,0,1,0,3
150,2024-08-09 12:30:00,2024-08-09,12:30:00,29,1,Friday,0,1,0,3
151,2024-08-09 12:31:00,2024-08-09,12:31:00,29,1,Friday,0,1,0,3
152,2024-08-09 12:32:00,2024-08-09,12:32:00,29,1,Friday,0,1,0,3
153,2024-08-09 12:33:00,2024-08-09,12:33:00,29,1,Friday,0,1,0,3
154,2024-08-09 12:34:00,2024-08-09,12:34:00,29,1,Friday,0,1,0,3
155,2024-08-09 12:35:00,2024-08-09,12:35:00,29,1,Friday,0,1,0,3
156,2024-08-09 12:36:00,2024-08-09,12:36:00,29,1,Friday,0,1,0,3
157,2024-08-09 12:37:00,2024-08-09,12:37:00,29,1,Friday,0,1,0,3
158,2024-08-09 12:38:00,2024-08-09,12:38:00,29,1,Friday,0,1,0,3
159,2024-08-09 12:39:00,2024-08-09,12:39:00,29,1,Friday,0,1,0,3
160,2024-08-09 12:40:00,2024-08-09,12:40:00,29,1,Friday,0,1,0,3
161,2024-08-09 12:41:00,2024-08-09,12:41:00,29,1,Friday,0,1,0,3
162,2024-08-09 12:42:00,2024-08-09,12:42:00,29,1,Friday,0,1,0,3
163,2024-08-09 12:43:00,2024-08-09,12:43:00,29,1,Friday,0,1,0,3
164,2024-08-09 12:44:00,2024-08-09,12:44:00,29,1,Friday,0,1,0,3
165,2024-08-09 12:45:00,2024-08-09,12:45:00,29,1,Friday,0,1,0,3
166,2024-08-09 12:46:00,2024-08-09,12:46:00,29,1,Friday,0,1,0,3
167,2024-08-09 12:47:00,2024-08-09,12:47:00,29,1,Friday,0,1,0,3
168,2024-08-09 12:48:00,2024-08-09,12:48:00,29,1,Friday,0,1,0,3
169,2024-08-09 12:49:00,2024-08-09,12:49:00,29,1,Friday,0,1,0,3
170,2024-08-09 12:50:00,2024-08-09,12:50:00,29,1,Friday,0,1,0,3
171,2024-08-09 12:51:00,2024-08-09,12:51:00,29,1,Friday,0,1,0,3
172,2024-08-09 12:52:00,2024-08-09,12:52:00,29,1,Friday,0,1,0,3
173,2024-08-09 12:53:00,2024-08-09,12:53:00,29,1,Friday,0,1,0,3
174,2024-08-09 12:54:00,2024-08-09,12:54:00,29,1,Friday,0,1,0,3
