Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Date,Public Holiday,School Holiday,Wait Time
Sentosa Island,2023,4,14,0.0,0.0,0.0,0.0,29.1,32.6,27.0,5.0,24.4,2023-04-14,0,0,29.392857142857142
Sentosa Island,2023,4,15,0.6,0.6,0.6,0.6,29.3,32.6,26.8,5.1,20.9,2023-04-15,0,0,
Sentosa Island,2023,4,16,3.6,3.4,3.6,3.6,28.6,31.2,23.8,5.1,30.9,2023-04-16,0,0,
Sentosa Island,2023,4,17,0.0,0.0,0.0,0.0,29.0,33.0,27.0,6.8,39.3,2023-04-17,0,0,27.97530864197531
Sentosa Island,2023,4,18,0.0,0.0,0.0,0.0,30.0,35.3,27.8,4.6,20.6,2023-04-18,0,0,
Sentosa Island,2023,4,19,0.2,0.2,0.2,0.2,29.2,31.9,27.3,4.8,19.1,2023-04-19,0,0,
Sentosa Island,2023,4,20,3.5,1.5,2.5,3.0,27.7,30.5,24.3,4.6,42.4,2023-04-20,0,0,
Sentosa Island,2023,4,21,31.0,23.0,28.5,30.0,28.0,31.4,23.2,5.2,42.0,2023-04-21,0,0,
Sentosa Island,2023,4,22,0.0,0.0,0.0,0.0,29.1,33.9,27.1,5.1,33.2,2023-04-22,1,1,37.035714285714285
Sentosa Island,2023,4,23,0.0,0.0,0.0,0.0,29.2,32.6,27.7,6.4,40.4,2023-04-23,0,0,29.642857142857142
Sentosa Island,2023,4,24,3.2,2.6,2.6,2.6,29.5,33.9,25.9,5.7,27.4,2023-04-24,0,0,45.785714285714285
Sentosa Island,2023,4,25,1.5,1.3,1.3,1.3,28.6,32.1,26.9,3.8,22.4,2023-04-25,0,0,
Sentosa Island,2023,4,26,0.0,0.0,0.0,0.0,29.2,32.7,26.7,5.8,28.2,2023-04-26,0,0,35.642857142857146
Sentosa Island,2023,4,27,0.0,0.0,0.0,0.0,29.7,34.0,27.8,4.0,26.7,2023-04-27,0,0,30.63095238095238
Sentosa Island,2023,4,28,2.0,1.8,2.0,2.0,28.6,33.2,27.4,3.1,17.6,2023-04-28,0,0,33.464285714285715
Sentosa Island,2023,4,29,7.4,6.2,6.6,7.2,28.3,32.7,25.2,3.8,27.8,2023-04-29,0,0,41.674698795180724
Sentosa Island,2023,4,30,12.0,10.2,11.4,11.6,27.9,32.6,25.3,3.1,27.0,2023-04-30,0,0,41.5
Sentosa Island,2023,5,1,0.0,0.0,0.0,0.0,29.4,33.8,26.3,4.8,27.4,2023-05-01,1,1,45.964285714285715
Sentosa Island,2023,5,2,0.0,0.0,0.0,0.0,30.0,33.6,27.5,5.3,27.0,2023-05-02,0,0,
Sentosa Island,2023,5,3,0.0,0.0,0.0,0.0,29.8,33.1,27.9,4.1,18.3,2023-05-03,0,0,50.833333333333336
Sentosa Island,2023,5,4,0.0,0.0,0.0,0.0,29.5,34.5,27.2,3.4,22.6,2023-05-04,0,0,33.34939759036145
Sentosa Island,2023,5,5,0.0,0.0,0.0,0.0,29.5,32.8,27.5,4.0,21.7,2023-05-05,0,0,35.94047619047619
Sentosa Island,2023,5,6,6.6,6.6,6.6,6.6,28.8,32.5,24.4,6.1,40.0,2023-05-06,0,0,27.80952380952381
Sentosa Island,2023,5,7,3.0,1.5,2.0,3.0,28.4,30.1,25.6,9.3,34.3,2023-05-07,0,0,19.5
Sentosa Island,2023,5,8,0.2,0.2,0.2,0.2,29.8,33.3,26.2,8.3,39.3,2023-05-08,0,0,27.464285714285715
Sentosa Island,2023,5,9,0.0,0.0,0.0,0.0,29.6,33.2,26.9,6.5,22.0,2023-05-09,0,0,
Sentosa Island,2023,5,10,0.0,0.0,0.0,0.0,30.4,34.6,28.3,6.7,19.4,2023-05-10,0,0,28.313253012048193
Sentosa Island,2023,5,11,0.0,0.0,0.0,0.0,30.2,34.7,28.6,7.4,32.8,2023-05-11,0,0,27.892857142857142
Sentosa Island,2023,5,12,0.0,0.0,0.0,0.0,30.3,33.7,28.3,7.1,30.2,2023-05-12,0,0,32.04761904761905
Sentosa Island,2023,5,13,0.0,0.0,0.0,0.0,30.0,33.2,27.6,5.9,22.6,2023-05-13,0,0,29.05952380952381
Sentosa Island,2023,5,14,0.0,0.0,0.0,0.0,30.4,34.3,28.3,5.6,23.7,2023-05-14,0,0,20.6144578313253
Sentosa Island,2023,5,15,5.6,5.6,5.6,5.6,29.3,34.0,26.3,4.8,30.2,2023-05-15,0,0,41.94047619047619
Sentosa Island,2023,5,16,11.0,6.0,10.0,10.0,27.2,29.9,23.3,4.3,36.3,2023-05-16,0,0,
Sentosa Island,2023,5,17,0.0,0.0,0.0,0.0,29.0,33.3,26.9,4.1,27.0,2023-05-17,0,0,32.285714285714285
Sentosa Island,2023,5,18,0.0,0.0,0.0,0.0,29.5,32.5,26.2,5.2,24.8,2023-05-18,0,0,26.011904761904763
Sentosa Island,2023,5,19,2.6,1.6,2.2,2.4,28.9,31.1,25.9,6.2,32.4,2023-05-19,0,0,28.023809523809526
Sentosa Island,2023,5,20,0.0,0.0,0.0,0.0,29.6,31.5,28.2,8.3,29.8,2023-05-20,0,0,
Sentosa Island,2023,5,21,32.4,18.8,28.0,29.0,26.9,29.1,22.6,4.7,38.9,2023-05-21,0,0,21.44047619047619
Sentosa Island,2023,5,22,0.0,0.0,0.0,0.0,29.4,32.0,27.8,6.2,23.3,2023-05-22,0,0,35.73809523809524
