Ride,Date/Time,Wait Time,DayType
Treasure Hunters,2023-01-06 13:40:04,30,0
Treasure Hunters,2023-01-06 13:45:03,50,0
Treasure Hunters,2023-01-06 13:50:04,50,0
Treasure Hunters,2023-01-06 13:55:03,50,0
Treasure Hunters,2023-01-06 14:00:03,50,0
Treasure Hunters,2023-01-06 14:05:04,50,0
Treasure Hunters,2023-01-06 14:10:04,50,0
Treasure Hunters,2023-01-06 14:15:04,50,0
Treasure Hunters,2023-01-06 14:20:04,50,0
Treasure Hunters,2023-01-06 14:25:05,50,0
Treasure Hunters,2023-01-06 14:30:03,40,0
Treasure Hunters,2023-01-06 14:35:04,40,0
Treasure Hunters,2023-01-06 14:40:04,40,0
Treasure Hunters,2023-01-06 14:45:04,40,0
Treasure Hunters,2023-01-06 14:50:04,40,0
Treasure Hunters,2023-01-06 14:55:03,40,0
Treasure Hunters,2023-01-06 15:00:04,40,0
Treasure Hunters,2023-01-06 15:05:03,40,0
Treasure Hunters,2023-01-06 15:10:04,40,0
Treasure Hunters,2023-01-06 15:15:04,40,0
Treasure Hunters,2023-01-06 15:20:03,20,0
Treasure Hunters,2023-01-06 15:25:03,20,0
Treasure Hunters,2023-01-06 15:30:03,20,0
Treasure Hunters,2023-01-06 15:35:04,20,0
Treasure Hunters,2023-01-06 15:40:03,20,0
Treasure Hunters,2023-01-06 15:45:03,20,0
Treasure Hunters,2023-01-06 15:50:03,20,0
Treasure Hunters,2023-01-06 15:55:03,20,0
Treasure Hunters,2023-01-06 16:00:03,20,0
Treasure Hunters,2023-01-06 16:05:03,20,0
Treasure Hunters,2023-01-06 16:10:03,30,0
Treasure Hunters,2023-01-06 16:15:03,30,0
Treasure Hunters,2023-01-06 16:20:03,30,0
Treasure Hunters,2023-01-06 16:25:03,30,0
Treasure Hunters,2023-01-06 16:30:04,30,0
Treasure Hunters,2023-01-06 16:35:03,30,0
Treasure Hunters,2023-01-06 16:40:04,30,0
Treasure Hunters,2023-01-06 16:45:04,30,0
Treasure Hunters,2023-01-06 16:50:05,30,0
Treasure Hunters,2023-01-06 16:55:04,30,0
Treasure Hunters,2023-01-06 17:00:04,30,0
Treasure Hunters,2023-01-06 17:05:03,30,0
Treasure Hunters,2023-01-06 17:10:03,30,0
Treasure Hunters,2023-01-06 17:15:04,30,0
Treasure Hunters,2023-01-06 17:20:04,30,0
Treasure Hunters,2023-01-06 17:25:04,30,0
Treasure Hunters,2023-01-06 17:30:03,30,0
Treasure Hunters,2023-01-06 17:35:03,30,0
Treasure Hunters,2023-01-06 17:40:04,30,0
Treasure Hunters,2023-01-06 17:45:04,30,0
Treasure Hunters,2023-01-06 17:50:05,30,0
Treasure Hunters,2023-01-06 17:55:04,30,0
Treasure Hunters,2023-01-07 11:00:05,5,2
Treasure Hunters,2023-01-07 11:05:04,5,2
Treasure Hunters,2023-01-07 11:10:04,5,2
Treasure Hunters,2023-01-07 11:15:04,5,2
Treasure Hunters,2023-01-07 11:20:03,5,2
Treasure Hunters,2023-01-07 11:25:04,5,2
Treasure Hunters,2023-01-07 11:30:04,5,2
Treasure Hunters,2023-01-07 11:35:03,5,2
Treasure Hunters,2023-01-07 11:40:03,5,2
Treasure Hunters,2023-01-07 11:45:03,5,2
Treasure Hunters,2023-01-07 11:50:04,5,2
Treasure Hunters,2023-01-07 11:55:04,5,2
Treasure Hunters,2023-01-07 12:00:04,5,2
Treasure Hunters,2023-01-07 12:05:04,5,2
Treasure Hunters,2023-01-07 12:10:03,5,2
Treasure Hunters,2023-01-07 12:15:03,5,2
Treasure Hunters,2023-01-07 12:20:04,5,2
