Date,Day,Wait Time,Weekend,Public Holiday,School Holiday,Weather Condition,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C)
2023-05-25,Thursday,25.14457831325301,0,0,0,0,0.0,0.0,0.0,0.0,30.0,32.6,28.4
2023-05-26,Friday,33.476190476190474,0,0,0,2,26.2,20.8,24.2,24.4,28.2,30.1,24.4
2023-05-27,Saturday,29.297619047619047,1,0,1,0,0.0,0.0,0.0,0.0,29.1,32.0,27.4
2023-05-28,Sunday,22.916666666666668,1,0,1,2,11.6,11.6,11.6,11.6,29.2,32.6,25.1
2023-05-29,Monday,39.63095238095238,0,0,1,2,15.6,14.6,14.6,15.2,29.4,32.1,24.5
2023-05-31,Wednesday,31.53012048192771,0,0,1,0,0.0,0.0,0.0,0.0,30.0,33.1,28.3
2023-06-01,Thursday,23.86904761904762,0,0,1,2,22.8,11.2,14.2,18.6,27.0,29.5,24.3
2023-06-02,Friday,37.92857142857143,0,1,1,0,0.0,0.0,0.0,0.0,29.4,32.9,26.3
2023-06-05,Monday,26.25,0,0,1,0,0.0,0.0,0.0,0.0,28.9,32.0,26.2
2023-06-06,Tuesday,13.404761904761905,0,0,1,0,0.2,0.2,0.2,0.2,28.3,30.0,26.3
2023-06-07,Wednesday,23.297619047619047,0,0,1,0,0.0,0.0,0.0,0.0,28.9,31.8,27.4
2023-06-08,Thursday,24.0609756097561,0,0,1,0,0.0,0.0,0.0,0.0,29.6,32.7,27.4
2023-06-09,Friday,27.702380952380953,0,0,1,0,0.0,0.0,0.0,0.0,29.6,33.3,27.9
2023-06-10,Saturday,29.583333333333332,1,0,1,0,0.0,0.0,0.0,0.0,29.7,33.3,27.7
2023-06-11,Sunday,19.428571428571427,1,0,1,0,0.0,0.0,0.0,0.0,29.8,34.1,28.0
2023-06-12,Monday,28.4625,0,0,1,2,42.2,17.4,25.2,39.0,27.3,29.8,23.8
2023-06-13,Tuesday,18.488095238095237,0,0,1,0,0.0,0.0,0.0,0.0,28.9,32.8,26.1
2023-06-14,Wednesday,24.80952380952381,0,0,1,1,3.0,3.0,3.0,3.0,28.1,30.6,24.5
2023-06-15,Thursday,32.17857142857143,0,0,1,0,1.4,1.2,1.4,1.4,28.9,31.7,26.9
2023-06-16,Friday,29.107142857142858,0,0,1,0,0.0,0.0,0.0,0.0,29.8,33.0,27.5
2023-06-17,Saturday,32.07142857142857,1,0,1,0,0.0,0.0,0.0,0.0,29.9,33.0,28.1
2023-06-18,Sunday,17.19047619047619,1,0,1,2,7.6,6.8,7.0,7.4,28.5,32.2,22.4
2023-06-19,Monday,41.357142857142854,0,0,1,0,0.0,0.0,0.0,0.0,29.3,33.3,26.8
2023-06-20,Tuesday,21.142857142857142,0,0,1,0,0.0,0.0,0.0,0.0,29.3,32.8,27.8
2023-06-21,Wednesday,29.345238095238095,0,0,1,0,0.4,0.4,0.4,0.4,29.5,32.3,26.7
2023-06-22,Thursday,35.382716049382715,0,0,1,2,4.2,4.0,4.2,4.2,29.6,34.0,25.1
2023-06-23,Friday,36.904761904761905,0,0,1,0,0.0,0.0,0.0,0.0,29.9,33.5,28.1
2023-06-24,Saturday,32.44047619047619,1,0,1,0,2.4,2.2,2.2,2.2,28.5,31.7,25.2
2023-06-25,Sunday,21.845238095238095,1,0,1,0,2.2,1.8,2.0,2.0,28.8,32.7,25.3
2023-06-26,Monday,39.05952380952381,0,0,0,0,0.2,0.2,0.2,0.2,28.5,31.6,25.6
2023-06-29,Thursday,36.82142857142857,0,1,1,0,0.0,0.0,0.0,0.0,29.1,32.8,27.4
2023-06-30,Friday,38.51190476190476,0,0,0,2,22.4,11.2,20.4,22.4,28.2,30.8,25.1
2023-07-01,Saturday,35.785714285714285,1,0,0,2,8.4,7.2,8.4,8.4,27.8,30.8,25.0
2023-07-02,Sunday,26.392857142857142,1,0,0,0,0.0,0.0,0.0,0.0,29.1,32.0,27.4
2023-07-03,Monday,40.36904761904762,0,0,1,0,0.0,0.0,0.0,0.0,28.8,32.7,27.6
2023-07-04,Tuesday,40.0,0,0,0,0,0.0,0.0,0.0,0.0,29.7,34.9,28.0
2023-07-05,Wednesday,40.892857142857146,0,0,0,2,35.6,19.8,23.0,31.6,27.9,31.7,23.5
2023-07-06,Thursday,39.86904761904762,0,0,0,0,0.2,0.2,0.2,0.2,27.6,30.7,25.9
2023-07-07,Friday,39.63095238095238,0,0,0,0,0.0,0.0,0.0,0.0,28.4,32.5,26.2
2023-07-08,Saturday,39.25,1,0,0,0,0.0,0.0,0.0,0.0,29.1,32.6,26.6
2023-07-09,Sunday,32.595238095238095,1,0,0,2,29.5,14.0,16.5,19.5,27.6,32.8,24.3
2023-07-10,Monday,40.726190476190474,0,0,0,2,9.0,9.0,9.0,9.0,27.5,30.1,25.4
2023-07-11,Tuesday,30.867469879518072,0,0,0,2,25.0,12.5,13.5,14.5,25.7,28.3,24.3
2023-07-12,Wednesday,41.01190476190476,0,0,0,0,0.0,0.0,0.0,0.0,28.3,31.5,25.2
2023-07-13,Thursday,39.726190476190474,0,0,0,0,0.0,0.0,0.0,0.0,29.3,32.7,27.0
2023-07-14,Friday,39.0609756097561,0,0,0,2,53.0,21.5,27.5,36.5,26.5,28.6,23.7
2023-07-15,Saturday,43.73809523809524,1,0,0,0,0.0,0.0,0.0,0.0,28.0,30.2,25.5
2023-07-16,Sunday,42.416666666666664,1,0,0,0,0.0,0.0,0.0,0.0,29.5,32.4,27.1
2023-07-17,Monday,50.773809523809526,0,0,0,1,5.2,2.8,2.8,3.2,28.4,31.7,26.8
2023-07-18,Tuesday,35.595238095238095,0,0,0,2,47.0,42.0,47.0,47.0,27.3,29.4,23.7
2023-07-19,Wednesday,39.75,0,0,0,2,96.0,49.8,64.8,88.8,27.1,28.7,23.7
2023-07-20,Thursday,32.654761904761905,0,0,0,2,73.6,45.2,56.8,61.2,26.6,28.7,23.2
2023-07-21,Friday,44.87012987012987,0,0,0,0,0.0,0.0,0.0,0.0,28.7,32.1,27.2
2023-07-22,Saturday,47.654761904761905,1,0,0,0,0.0,0.0,0.0,0.0,29.1,31.9,27.4
2023-07-23,Sunday,35.964285714285715,1,0,0,0,1.4,1.4,1.4,1.4,28.4,30.7,25.5
2023-07-24,Monday,43.31481481481482,0,0,0,0,0.0,0.0,0.0,0.0,28.9,32.2,26.1
2023-07-25,Tuesday,38.44047619047619,0,0,0,0,0.0,0.0,0.0,0.0,29.6,32.9,27.8
2023-07-26,Wednesday,42.476190476190474,0,0,0,0,0.0,0.0,0.0,0.0,29.6,33.2,27.7
2023-07-27,Thursday,45.654761904761905,0,0,0,0,0.0,0.0,0.0,0.0,29.6,33.3,27.9
2023-07-28,Friday,42.023809523809526,0,0,0,0,0.0,0.0,0.0,0.0,29.6,32.5,27.8
2023-07-29,Saturday,42.48809523809524,1,0,0,0,0.0,0.0,0.0,0.0,29.6,32.7,27.9
2023-07-30,Sunday,41.30120481927711,1,0,0,0,0.4,0.4,0.4,0.4,29.4,32.4,27.7
2023-07-31,Monday,49.23809523809524,0,0,0,0,0.0,0.0,0.0,0.0,28.8,31.7,27.7
2023-08-01,Tuesday,42.035714285714285,0,0,0,0,0.0,0.0,0.0,0.0,29.3,32.4,27.5
2023-08-02,Wednesday,35.892857142857146,0,0,0,0,0.0,0.0,0.0,0.0,29.6,33.4,28.3
2023-08-03,Thursday,40.89156626506024,0,0,0,1,3.4,0.8,1.0,1.8,26.3,28.6,23.5
2023-08-04,Friday,44.595238095238095,0,0,0,0,0.4,0.4,0.4,0.4,28.7,32.5,26.0
2023-08-05,Saturday,43.345238095238095,1,0,0,0,0.2,0.2,0.2,0.2,29.4,33.3,27.4
2023-08-06,Sunday,36.96341463414634,1,0,0,0,0.0,0.0,0.0,0.0,29.4,33.2,26.4
2023-08-07,Monday,46.654761904761905,0,0,0,0,0.0,0.0,0.0,0.0,29.3,32.4,27.4
2023-08-08,Tuesday,42.433734939759034,0,0,0,0,0.0,0.0,0.0,0.0,28.7,33.3,27.4
2023-08-09,Wednesday,38.57142857142857,0,1,1,0,0.0,0.0,0.0,0.0,29.1,32.7,27.2
2023-08-10,Thursday,44.68674698795181,0,0,1,0,0.0,0.0,0.0,0.0,29.3,32.6,27.8
2023-08-11,Friday,44.285714285714285,0,0,0,2,6.0,5.8,6.0,6.0,29.0,33.0,25.1
2023-08-12,Saturday,42.404761904761905,1,0,0,0,0.0,0.0,0.0,0.0,29.4,33.3,27.1
2023-08-13,Sunday,39.285714285714285,1,0,0,0,0.0,0.0,0.0,0.0,29.0,32.0,27.6
2023-08-14,Monday,42.976190476190474,0,0,0,2,28.0,20.0,24.0,26.8,27.6,32.9,24.4
2023-08-15,Tuesday,41.54761904761905,0,0,0,0,0.0,0.0,0.0,0.0,28.3,32.0,25.7
2023-08-16,Wednesday,44.20238095238095,0,0,0,1,3.0,3.0,3.0,3.0,28.4,32.9,24.7
2023-08-17,Thursday,42.79761904761905,0,0,0,0,0.0,0.0,0.0,0.0,28.8,31.9,27.4
2023-08-18,Friday,34.86904761904762,0,0,0,2,32.0,26.4,29.2,31.4,27.0,28.7,24.1
2023-08-19,Saturday,39.79761904761905,1,0,0,2,8.6,8.6,8.6,8.6,27.4,30.7,25.0
2023-08-20,Sunday,35.964285714285715,1,0,0,0,0.0,0.0,0.0,0.0,28.8,31.7,26.9
2023-08-21,Monday,40.857142857142854,0,0,0,2,17.5,6.0,8.0,15.5,27.1,29.2,24.4
2023-08-22,Tuesday,38.976190476190474,0,0,0,0,0.0,0.0,0.0,0.0,29.1,32.6,26.6
2023-08-23,Wednesday,40.096385542168676,0,0,0,0,0.0,0.0,0.0,0.0,29.3,32.7,27.1
2023-08-24,Thursday,36.94047619047619,0,0,0,0,0.0,0.0,0.0,0.0,28.9,33.0,27.2
2023-08-25,Friday,41.12048192771084,0,0,0,0,0.4,0.4,0.4,0.4,28.1,31.5,25.3
2023-08-26,Saturday,36.16867469879518,1,0,0,0,0.5,0.5,0.5,0.5,27.8,31.0,26.8
2023-08-27,Sunday,26.36904761904762,1,0,0,0,0.0,0.0,0.0,0.0,28.6,32.0,26.2
2023-08-28,Monday,45.34146341463415,0,0,0,0,0.0,0.0,0.0,0.0,28.4,31.4,26.8
2023-08-29,Tuesday,25.55421686746988,0,0,0,0,0.0,0.0,0.0,0.0,28.6,31.4,27.3
2023-08-30,Wednesday,25.19047619047619,0,0,0,0,0.0,0.0,0.0,0.0,28.4,31.3,25.6
2023-08-31,Thursday,27.595238095238095,0,0,0,0,0.0,0.0,0.0,0.0,29.1,32.4,27.2
2023-09-01,Friday,38.535714285714285,0,1,1,0,0.0,0.0,0.0,0.0,29.3,32.7,27.1
2023-09-02,Saturday,23.97590361445783,1,0,1,0,0.0,0.0,0.0,0.0,29.2,33.2,26.8
2023-09-03,Sunday,19.238095238095237,1,0,1,0,0.0,0.0,0.0,0.0,29.1,33.2,27.3
2023-09-04,Monday,26.916666666666668,0,0,1,0,0.0,0.0,0.0,0.0,29.0,32.3,27.5
2023-09-05,Tuesday,15.011904761904763,0,0,1,1,3.5,3.0,3.5,3.5,28.5,32.1,26.2
2023-09-06,Wednesday,14.988095238095237,0,0,1,2,47.0,21.4,26.8,33.6,27.1,33.1,23.8
2023-09-07,Thursday,20.55952380952381,0,0,1,0,0.6,0.4,0.6,0.6,28.0,32.1,24.6
2023-09-08,Friday,21.654761904761905,0,0,1,2,4.8,4.4,4.8,4.8,29.0,32.6,26.1
2023-09-09,Saturday,17.321428571428573,1,0,1,2,22.2,22.0,22.2,22.2,28.0,32.1,24.0
2023-09-10,Sunday,14.518072289156626,1,0,1,0,1.4,0.6,0.8,0.8,27.4,31.0,24.9
2023-09-11,Monday,23.976190476190474,0,0,0,0,0.0,0.0,0.0,0.0,28.3,31.7,26.8
2023-09-12,Tuesday,9.845238095238095,0,0,0,0,0.0,0.0,0.0,0.0,28.7,32.3,27.4
2023-09-13,Wednesday,15.457831325301205,0,0,0,0,0.0,0.0,0.0,0.0,29.3,33.3,27.4
2023-09-14,Thursday,12.54320987654321,0,0,0,0,0.0,0.0,0.0,0.0,29.5,33.4,27.3
2023-09-15,Friday,16.142857142857142,0,0,0,0,0.0,0.0,0.0,0.0,29.5,33.7,27.3
2023-09-16,Saturday,17.19047619047619,1,0,0,0,0.0,0.0,0.0,0.0,29.2,33.3,27.5
2023-09-17,Sunday,10.630952380952381,1,0,0,0,0.0,0.0,0.0,0.0,28.8,32.2,26.9
2023-09-18,Monday,17.523809523809526,0,0,0,0,0.0,0.0,0.0,0.0,28.7,32.4,26.0
2023-09-19,Tuesday,14.511904761904763,0,0,0,0,0.6,0.6,0.6,0.6,29.1,34.9,27.1
2023-09-20,Wednesday,17.426829268292682,0,0,0,2,27.8,20.4,25.0,27.6,27.7,32.8,24.6
2023-09-22,Friday,23.265060240963855,0,0,0,0,0.0,0.0,0.0,0.0,28.5,31.7,26.5
2023-09-23,Saturday,25.107142857142858,1,0,0,0,0.0,0.0,0.0,0.0,28.5,31.3,26.5
