Park,Date/Time,Wait Time
Universal Studios Singapore,2023-09-04 17:05:00,25
Universal Studios Singapore,2023-09-04 17:10:00,25
Universal Studios Singapore,2023-09-04 17:15:00,24
Universal Studios Singapore,2023-09-04 17:20:00,22
Universal Studios Singapore,2023-09-04 17:25:00,21
Universal Studios Singapore,2023-09-04 17:30:00,21
Universal Studios Singapore,2023-09-04 17:35:00,20
Universal Studios Singapore,2023-09-04 17:40:00,20
Universal Studios Singapore,2023-09-04 17:45:00,20
Universal Studios Singapore,2023-09-04 17:50:00,20
Universal Studios Singapore,2023-09-04 17:55:00,20
Universal Studios Singapore,2023-09-05 11:00:00,7
Universal Studios Singapore,2023-09-05 11:05:00,7
Universal Studios Singapore,2023-09-05 11:10:00,7
Universal Studios Singapore,2023-09-05 11:15:00,8
Universal Studios Singapore,2023-09-05 11:20:00,8
Universal Studios Singapore,2023-09-05 11:25:00,11
Universal Studios Singapore,2023-09-05 11:30:00,11
Universal Studios Singapore,2023-09-05 11:35:00,11
Universal Studios Singapore,2023-09-05 11:40:00,12
Universal Studios Singapore,2023-09-05 11:45:00,13
Universal Studios Singapore,2023-09-05 11:50:00,13
Universal Studios Singapore,2023-09-05 11:55:00,14
Universal Studios Singapore,2023-09-05 12:00:00,14
Universal Studios Singapore,2023-09-05 12:05:00,15
Universal Studios Singapore,2023-09-05 12:10:00,16
Universal Studios Singapore,2023-09-05 12:15:00,16
Universal Studios Singapore,2023-09-05 12:20:00,16
Universal Studios Singapore,2023-09-05 12:25:00,17
Universal Studios Singapore,2023-09-05 12:30:00,17
Universal Studios Singapore,2023-09-05 12:35:00,17
Universal Studios Singapore,2023-09-05 12:40:00,18
Universal Studios Singapore,2023-09-05 12:45:00,19
Universal Studios Singapore,2023-09-05 12:50:00,17
Universal Studios Singapore,2023-09-05 12:55:00,17
Universal Studios Singapore,2023-09-05 13:00:00,18
Universal Studios Singapore,2023-09-05 13:05:00,19
Universal Studios Singapore,2023-09-05 13:10:00,19
Universal Studios Singapore,2023-09-05 13:15:00,19
Universal Studios Singapore,2023-09-05 13:20:00,19
Universal Studios Singapore,2023-09-05 13:25:00,19
Universal Studios Singapore,2023-09-05 13:30:00,18
Universal Studios Singapore,2023-09-05 13:35:00,18
Universal Studios Singapore,2023-09-05 13:40:00,18
Universal Studios Singapore,2023-09-05 13:45:00,18
Universal Studios Singapore,2023-09-05 13:50:00,18
Universal Studios Singapore,2023-09-05 13:55:00,18
Universal Studios Singapore,2023-09-05 14:00:00,18
Universal Studios Singapore,2023-09-05 14:05:00,21
Universal Studios Singapore,2023-09-05 14:10:00,18
Universal Studios Singapore,2023-09-05 14:15:00,19
Universal Studios Singapore,2023-09-05 14:20:00,19
Universal Studios Singapore,2023-09-05 14:25:00,18
Universal Studios Singapore,2023-09-05 14:30:00,16
Universal Studios Singapore,2023-09-05 14:35:00,14
Universal Studios Singapore,2023-09-05 14:40:00,13
Universal Studios Singapore,2023-09-05 14:45:00,13
Universal Studios Singapore,2023-09-05 14:50:00,14
Universal Studios Singapore,2023-09-05 14:55:00,14
Universal Studios Singapore,2023-09-05 15:00:00,13
Universal Studios Singapore,2023-09-05 15:05:00,14
Universal Studios Singapore,2023-09-05 15:10:00,15
Universal Studios Singapore,2023-09-05 15:15:00,16
Universal Studios Singapore,2023-09-05 15:20:00,16
Universal Studios Singapore,2023-09-05 15:25:00,18
Universal Studios Singapore,2023-09-05 15:30:00,18
Universal Studios Singapore,2023-09-05 15:35:00,20
Universal Studios Singapore,2023-09-05 15:40:00,20
Universal Studios Singapore,2023-09-05 15:45:00,18
Universal Studios Singapore,2023-09-05 15:50:00,19
Universal Studios Singapore,2023-09-05 15:55:00,18
Universal Studios Singapore,2023-09-05 16:00:00,17
Universal Studios Singapore,2023-09-05 16:05:00,17
Universal Studios Singapore,2023-09-05 16:10:00,16
Universal Studios Singapore,2023-09-05 16:15:00,16
Universal Studios Singapore,2023-09-05 16:20:00,14
Universal Studios Singapore,2023-09-05 16:25:00,13
Universal Studios Singapore,2023-09-05 16:30:00,13
Universal Studios Singapore,2023-09-05 16:35:00,13
Universal Studios Singapore,2023-09-05 16:40:00,13
Universal Studios Singapore,2023-09-05 16:45:00,13
Universal Studios Singapore,2023-09-05 16:50:00,13
Universal Studios Singapore,2023-09-05 16:55:00,13
Universal Studios Singapore,2023-09-05 17:00:00,13
Universal Studios Singapore,2023-09-05 17:05:00,13
Universal Studios Singapore,2023-09-05 17:10:00,13
Universal Studios Singapore,2023-09-05 17:15:00,13
Universal Studios Singapore,2023-09-05 17:20:00,13
Universal Studios Singapore,2023-09-05 17:25:00,12
Universal Studios Singapore,2023-09-05 17:30:00,12
Universal Studios Singapore,2023-09-05 17:35:00,12
Universal Studios Singapore,2023-09-05 17:40:00,12
Universal Studios Singapore,2023-09-05 17:45:00,11
Universal Studios Singapore,2023-09-05 17:50:00,11
Universal Studios Singapore,2023-09-05 17:55:00,11
Universal Studios Singapore,2023-09-06 11:00:00,7
Universal Studios Singapore,2023-09-06 11:05:00,9
Universal Studios Singapore,2023-09-06 11:10:00,11
Universal Studios Singapore,2023-09-06 11:15:00,12
Universal Studios Singapore,2023-09-06 11:20:00,14
Universal Studios Singapore,2023-09-06 11:25:00,14
Universal Studios Singapore,2023-09-06 11:30:00,14
Universal Studios Singapore,2023-09-06 11:35:00,14
Universal Studios Singapore,2023-09-06 11:40:00,14
Universal Studios Singapore,2023-09-06 11:45:00,16
Universal Studios Singapore,2023-09-06 11:50:00,16
Universal Studios Singapore,2023-09-06 11:55:00,16
Universal Studios Singapore,2023-09-06 12:00:00,16
Universal Studios Singapore,2023-09-06 12:05:00,16
Universal Studios Singapore,2023-09-06 12:10:00,17
Universal Studios Singapore,2023-09-06 12:15:00,20
Universal Studios Singapore,2023-09-06 12:20:00,20
Universal Studios Singapore,2023-09-06 12:25:00,21
Universal Studios Singapore,2023-09-06 12:30:00,21
Universal Studios Singapore,2023-09-06 12:35:00,21
Universal Studios Singapore,2023-09-06 12:40:00,20
Universal Studios Singapore,2023-09-06 12:45:00,22
Universal Studios Singapore,2023-09-06 12:50:00,22
Universal Studios Singapore,2023-09-06 12:55:00,23
Universal Studios Singapore,2023-09-06 13:00:00,24
