Park,Date/Time,Wait Time
Universal Studios Singapore,2023-11-09 11:05:00,8
Universal Studios Singapore,2023-11-09 11:10:00,9
Universal Studios Singapore,2023-11-09 11:15:00,9
Universal Studios Singapore,2023-11-09 11:20:00,11
Universal Studios Singapore,2023-11-09 11:25:00,12
Universal Studios Singapore,2023-11-09 11:30:00,12
Universal Studios Singapore,2023-11-09 11:35:00,14
Universal Studios Singapore,2023-11-09 11:40:00,14
Universal Studios Singapore,2023-11-09 11:45:00,14
Universal Studios Singapore,2023-11-09 11:50:00,15
Universal Studios Singapore,2023-11-09 11:55:00,17
Universal Studios Singapore,2023-11-09 12:00:00,17
Universal Studios Singapore,2023-11-09 12:05:00,17
Universal Studios Singapore,2023-11-09 12:10:00,18
Universal Studios Singapore,2023-11-09 12:15:00,21
Universal Studios Singapore,2023-11-09 12:20:00,22
Universal Studios Singapore,2023-11-09 12:25:00,22
Universal Studios Singapore,2023-11-09 12:30:00,23
Universal Studios Singapore,2023-11-09 12:35:00,24
Universal Studios Singapore,2023-11-09 12:40:00,22
Universal Studios Singapore,2023-11-09 12:45:00,22
Universal Studios Singapore,2023-11-09 12:50:00,21
Universal Studios Singapore,2023-11-09 12:55:00,21
Universal Studios Singapore,2023-11-09 13:00:00,21
Universal Studios Singapore,2023-11-09 13:05:00,20
Universal Studios Singapore,2023-11-09 13:10:00,20
Universal Studios Singapore,2023-11-09 13:15:00,19
Universal Studios Singapore,2023-11-09 13:20:00,19
Universal Studios Singapore,2023-11-09 13:25:00,19
Universal Studios Singapore,2023-11-09 13:30:00,17
Universal Studios Singapore,2023-11-09 13:35:00,17
Universal Studios Singapore,2023-11-09 13:40:00,17
Universal Studios Singapore,2023-11-09 13:45:00,17
Universal Studios Singapore,2023-11-09 13:50:00,17
Universal Studios Singapore,2023-11-09 13:55:00,17
Universal Studios Singapore,2023-11-09 14:00:00,16
Universal Studios Singapore,2023-11-09 14:05:00,17
Universal Studios Singapore,2023-11-09 14:10:00,17
Universal Studios Singapore,2023-11-09 14:15:00,19
Universal Studios Singapore,2023-11-09 14:20:00,19
Universal Studios Singapore,2023-11-09 14:25:00,19
Universal Studios Singapore,2023-11-09 14:30:00,21
Universal Studios Singapore,2023-11-09 14:35:00,22
Universal Studios Singapore,2023-11-09 14:40:00,22
Universal Studios Singapore,2023-11-09 14:45:00,21
Universal Studios Singapore,2023-11-09 14:50:00,19
Universal Studios Singapore,2023-11-09 14:55:00,19
Universal Studios Singapore,2023-11-09 15:00:00,19
Universal Studios Singapore,2023-11-09 15:05:00,18
Universal Studios Singapore,2023-11-09 15:10:00,18
Universal Studios Singapore,2023-11-09 15:15:00,18
Universal Studios Singapore,2023-11-09 15:20:00,17
Universal Studios Singapore,2023-11-09 15:25:00,18
Universal Studios Singapore,2023-11-09 15:30:00,18
Universal Studios Singapore,2023-11-09 15:35:00,18
Universal Studios Singapore,2023-11-09 15:40:00,18
Universal Studios Singapore,2023-11-09 15:45:00,18
