Park,Date/Time,Wait Time
Universal Studios Singapore,2023-12-03 10:30:00,8
Universal Studios Singapore,2023-12-03 10:35:00,10
Universal Studios Singapore,2023-12-03 10:40:00,11
Universal Studios Singapore,2023-12-03 10:45:00,11
Universal Studios Singapore,2023-12-03 10:50:00,11
Universal Studios Singapore,2023-12-03 10:55:00,11
Universal Studios Singapore,2023-12-03 11:00:00,11
Universal Studios Singapore,2023-12-03 11:05:00,11
Universal Studios Singapore,2023-12-03 11:10:00,11
Universal Studios Singapore,2023-12-03 11:15:00,11
Universal Studios Singapore,2023-12-03 11:20:00,11
Universal Studios Singapore,2023-12-03 11:25:00,11
Universal Studios Singapore,2023-12-03 11:30:00,11
Universal Studios Singapore,2023-12-03 11:35:00,13
Universal Studios Singapore,2023-12-03 11:40:00,13
Universal Studios Singapore,2023-12-03 11:45:00,13
Universal Studios Singapore,2023-12-03 11:50:00,13
Universal Studios Singapore,2023-12-03 11:55:00,13
Universal Studios Singapore,2023-12-03 12:00:00,13
Universal Studios Singapore,2023-12-03 12:05:00,13
Universal Studios Singapore,2023-12-03 12:10:00,13
Universal Studios Singapore,2023-12-03 12:15:00,13
Universal Studios Singapore,2023-12-03 12:20:00,13
Universal Studios Singapore,2023-12-03 12:25:00,13
Universal Studios Singapore,2023-12-03 12:30:00,14
Universal Studios Singapore,2023-12-03 12:35:00,14
Universal Studios Singapore,2023-12-03 12:40:00,13
Universal Studios Singapore,2023-12-03 12:45:00,13
Universal Studios Singapore,2023-12-03 12:50:00,13
Universal Studios Singapore,2023-12-03 12:55:00,13
Universal Studios Singapore,2023-12-03 13:00:00,13
Universal Studios Singapore,2023-12-03 13:05:00,13
Universal Studios Singapore,2023-12-03 13:10:00,13
Universal Studios Singapore,2023-12-03 13:15:00,11
Universal Studios Singapore,2023-12-03 13:20:00,11
Universal Studios Singapore,2023-12-03 13:25:00,11
Universal Studios Singapore,2023-12-03 13:30:00,11
Universal Studios Singapore,2023-12-03 13:35:00,12
Universal Studios Singapore,2023-12-03 13:40:00,12
Universal Studios Singapore,2023-12-03 13:45:00,14
Universal Studios Singapore,2023-12-03 13:50:00,14
Universal Studios Singapore,2023-12-03 13:55:00,14
Universal Studios Singapore,2023-12-03 14:00:00,14
Universal Studios Singapore,2023-12-03 14:05:00,16
Universal Studios Singapore,2023-12-03 14:10:00,16
Universal Studios Singapore,2023-12-03 14:15:00,16
Universal Studios Singapore,2023-12-03 14:20:00,16
Universal Studios Singapore,2023-12-03 14:25:00,16
Universal Studios Singapore,2023-12-03 14:30:00,16
